,Dalc,Fedu,G1,G2,G3,Medu,Pstatus,Walc,absences,activities,age,failures,famrel,famsize,famsup,freetime,goout,health,higher,internet,location,nursery,paid,romantic,school,schoolsup,sex,study_time,traveltime
262,1,2,13,12,12,3,T,1,1,yes,18,0,5,GT3,no,3,2,3,yes,no,Rural,,no,no,GP,no,M,5 to 10 hours,1
263,1,3,10,9,9,3,T,1,4,yes,17,0,3,GT3,no,2,3,4,yes,no,Urban,,no,no,GP,no,F,5 to 10 hours,1
264,1,2,9,10,0,2,T,1,0,yes,18,0,4,GT3,yes,3,3,3,yes,yes,Urban,,yes,yes,GP,no,F,5 to 10 hours,1
265,3,4,17,17,17,3,A,4,13,yes,18,0,4,LE3,yes,2,5,1,yes,yes,Rural,,yes,no,GP,no,M,2 to 5 hours,2
266,3,1,9,9,10,3,T,4,2,yes,17,0,5,GT3,no,4,4,5,yes,yes,Urban,,yes,yes,GP,no,M,2 to 5 hours,1
267,2,4,12,10,11,4,T,2,8,yes,18,0,4,GT3,no,3,4,4,yes,yes,Rural,,yes,no,GP,no,F,2 to 5 hours,2
268,1,2,10,9,10,4,T,3,10,yes,18,0,5,GT3,yes,4,5,5,yes,yes,Urban,,yes,yes,GP,no,M,2 to 5 hours,1
269,1,1,6,0,0,2,T,2,0,no,18,0,4,GT3,yes,3,5,3,no,yes,Rural,,no,yes,GP,no,F,2 to 5 hours,2
270,3,3,9,9,9,3,T,3,15,yes,19,2,4,GT3,yes,3,5,5,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,1
271,1,3,15,14,14,2,T,3,4,yes,18,0,4,GT3,yes,5,5,2,yes,yes,Urban,,yes,yes,GP,no,F,>10 hours,1
272,1,1,11,11,11,1,T,1,2,no,18,0,4,LE3,yes,4,3,3,yes,no,Urban,,yes,no,GP,no,F,2 to 5 hours,2
273,2,2,15,14,14,1,T,2,2,yes,17,0,3,GT3,yes,5,2,1,yes,no,Rural,,yes,yes,GP,no,M,2 to 5 hours,1
274,1,4,10,10,10,2,T,1,2,no,17,0,4,GT3,yes,3,3,1,yes,yes,Urban,,yes,yes,GP,no,F,2 to 5 hours,2
275,2,2,12,12,12,2,T,3,6,no,17,0,4,LE3,yes,4,4,5,yes,yes,Urban,,yes,yes,GP,yes,F,2 to 5 hours,2
276,1,2,10,9,9,3,A,1,75,no,18,0,4,GT3,no,1,1,5,no,yes,Rural,,no,yes,GP,no,F,2 to 5 hours,2
277,1,4,9,9,9,4,T,4,22,yes,18,0,3,GT3,no,2,4,3,yes,yes,Urban,,yes,no,GP,no,M,<2 hours,2
278,1,4,9,8,8,4,T,1,15,yes,18,1,2,GT3,yes,4,4,4,yes,yes,Urban,,no,yes,GP,yes,F,2 to 5 hours,1
279,1,3,10,11,10,4,T,2,8,yes,18,0,4,LE3,no,2,3,1,yes,yes,Urban,,yes,no,GP,no,M,<2 hours,2
280,2,1,8,8,8,4,A,4,30,yes,17,0,4,LE3,no,5,4,5,yes,yes,Urban,,yes,yes,GP,no,M,<2 hours,2
281,3,2,11,9,10,3,A,4,19,no,17,1,4,LE3,no,4,4,3,yes,yes,Urban,,no,no,GP,no,M,<2 hours,1
282,1,1,12,12,12,1,T,1,1,yes,18,0,5,LE3,yes,2,2,3,yes,no,Rural,,yes,no,GP,no,F,>10 hours,2
283,1,1,8,9,10,1,T,1,4,yes,18,0,5,GT3,no,4,4,4,yes,yes,Urban,,no,no,GP,yes,F,2 to 5 hours,2
284,1,2,10,9,11,2,T,2,4,no,17,0,5,GT3,yes,4,5,5,yes,yes,Urban,,no,no,GP,no,F,2 to 5 hours,1
285,1,1,12,10,11,1,T,2,2,no,17,0,4,GT3,no,3,3,4,yes,yes,Urban,,yes,no,GP,no,M,2 to 5 hours,1
286,1,2,18,18,19,2,T,2,5,no,18,0,4,GT3,yes,3,3,2,yes,yes,Urban,,yes,no,GP,no,F,5 to 10 hours,1
287,1,1,13,12,12,1,T,1,6,no,17,0,4,GT3,yes,3,3,3,yes,yes,Urban,,yes,no,GP,no,F,5 to 10 hours,1
288,1,1,15,14,14,2,T,3,6,yes,18,0,4,GT3,no,2,4,2,yes,yes,Urban,,yes,no,GP,no,M,5 to 10 hours,
289,1,4,15,13,15,4,A,1,9,yes,18,0,5,LE3,yes,4,3,2,yes,yes,Urban,,yes,no,GP,no,M,2 to 5 hours,1
290,1,2,12,11,11,4,T,4,11,yes,18,0,4,GT3,yes,3,2,5,yes,yes,Urban,,yes,yes,GP,no,M,2 to 5 hours,1
291,1,3,15,15,15,4,T,2,0,no,17,0,4,GT3,yes,2,2,3,yes,yes,Urban,,yes,no,GP,no,F,5 to 10 hours,1
292,1,1,12,12,13,2,T,1,12,no,18,1,5,LE3,no,4,3,5,yes,yes,Urban,,no,yes,GP,no,F,2 to 5 hours,1
293,1,1,18,18,18,3,T,1,6,no,17,0,3,LE3,yes,1,2,3,yes,no,Rural,,yes,no,GP,no,F,>10 hours,2
294,1,2,14,13,14,3,T,1,8,yes,18,0,5,LE3,yes,4,2,4,yes,yes,Rural,,yes,no,GP,no,M,5 to 10 hours,2
295,1,3,14,12,11,3,T,3,4,no,17,0,4,GT3,yes,4,3,5,yes,yes,Urban,,yes,no,GP,no,M,<2 hours,1
296,2,4,10,9,0,4,T,3,0,yes,19,0,2,GT3,yes,3,4,2,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,2
297,1,3,10,8,8,4,T,2,10,no,18,0,4,LE3,yes,4,5,2,yes,yes,Urban,,yes,yes,GP,no,F,2 to 5 hours,2
298,1,3,14,13,14,4,T,1,0,no,18,0,4,GT3,yes,3,3,3,yes,yes,Urban,,yes,no,GP,no,F,>10 hours,1
299,2,4,16,15,16,4,T,2,5,no,18,0,1,LE3,yes,4,2,1,yes,yes,Urban,,yes,yes,GP,no,M,<2 hours,1
300,1,4,12,10,11,4,A,1,14,no,18,0,4,LE3,yes,2,4,4,yes,yes,Urban,,no,yes,GP,no,F,2 to 5 hours,1
301,2,4,11,11,10,4,T,2,0,no,17,0,4,LE3,no,1,1,5,yes,yes,Urban,,yes,no,GP,no,M,<2 hours,2
302,1,2,15,12,14,4,T,1,0,no,17,0,4,GT3,yes,3,3,3,yes,yes,Urban,,yes,no,GP,no,F,5 to 10 hours,2
303,1,2,17,17,18,3,T,2,0,yes,17,0,5,GT3,yes,2,2,5,yes,yes,Urban,,yes,no,GP,no,F,>10 hours,1
304,1,3,15,14,13,3,T,1,20,yes,19,1,4,GT3,yes,4,4,3,yes,yes,Urban,,no,yes,GP,no,M,2 to 5 hours,1
305,1,4,14,12,12,2,T,1,8,yes,18,1,4,GT3,yes,4,3,3,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,1
306,1,2,17,18,18,3,A,1,0,yes,20,0,5,GT3,no,5,3,5,yes,no,Urban,,no,no,GP,no,M,<2 hours,1
307,1,4,8,9,8,4,T,1,38,no,19,1,4,GT3,yes,3,4,4,yes,yes,Urban,,yes,yes,GP,no,M,<2 hours,2
308,1,3,15,12,12,3,T,2,0,yes,19,1,4,GT3,no,5,3,5,yes,no,Rural,,no,yes,GP,no,M,2 to 5 hours,1
309,1,1,12,10,10,1,T,3,18,yes,19,1,4,LE3,yes,4,3,3,yes,yes,Urban,,no,no,GP,yes,F,2 to 5 hours,1
310,2,2,9,9,0,1,T,2,0,yes,19,1,4,LE3,no,2,4,3,yes,no,Urban,,no,yes,GP,no,F,2 to 5 hours,1
311,1,1,14,12,13,2,T,1,20,no,19,0,3,GT3,yes,4,1,2,no,yes,Urban,,no,yes,GP,no,F,2 to 5 hours,3
312,2,2,13,11,11,1,T,2,3,no,19,1,4,GT3,no,5,2,4,yes,yes,Urban,,no,no,GP,no,M,2 to 5 hours,1
313,1,2,13,10,11,3,T,2,22,no,19,1,4,LE3,yes,2,2,1,yes,yes,Urban,,yes,yes,GP,no,F,2 to 5 hours,2
314,1,1,15,13,13,1,T,1,14,no,19,2,4,GT3,no,1,2,3,yes,yes,Urban,,no,yes,GP,no,F,5 to 10 hours,1
315,1,3,13,11,11,2,T,1,40,no,19,1,4,GT3,no,1,2,3,yes,yes,Rural,,no,yes,GP,no,F,5 to 10 hours,1
316,1,1,8,8,0,2,T,2,0,yes,18,0,5,GT3,yes,3,3,1,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,2
317,1,3,9,10,9,4,T,1,9,yes,18,0,4,GT3,yes,3,4,5,yes,yes,Urban,,yes,yes,GP,no,F,5 to 10 hours,1
318,2,4,11,11,10,3,T,5,0,yes,17,0,4,GT3,yes,3,4,5,yes,yes,Rural,,yes,no,GP,no,F,5 to 10 hours,1
319,3,4,11,11,11,4,T,3,2,no,18,0,4,GT3,yes,4,4,5,yes,yes,Urban,,yes,no,GP,no,F,2 to 5 hours,1
320,1,3,13,13,13,4,A,2,23,no,17,0,5,GT3,yes,2,2,5,yes,yes,Urban,,yes,yes,GP,no,F,2 to 5 hours,1
321,1,2,11,9,9,2,T,1,12,no,17,0,4,GT3,yes,2,2,3,yes,no,Urban,,no,yes,GP,no,F,2 to 5 hours,
322,2,2,11,11,11,2,T,2,3,yes,17,0,3,LE3,yes,3,2,3,yes,yes,Rural,,yes,no,GP,no,F,5 to 10 hours,1
323,2,1,12,14,15,3,T,3,1,no,17,0,3,GT3,yes,4,3,5,yes,yes,Urban,,no,no,GP,no,F,5 to 10 hours,1
324,2,2,16,15,15,0,T,3,0,no,17,0,3,LE3,no,3,3,2,yes,yes,Urban,,no,no,GP,no,F,5 to 10 hours,2
325,2,4,9,12,11,4,T,2,3,yes,18,0,4,GT3,no,3,3,3,yes,yes,Urban,,no,no,GP,no,M,5 to 10 hours,1
326,3,3,14,15,16,3,T,5,3,yes,17,0,4,GT3,no,3,5,5,yes,yes,Urban,,no,no,GP,no,M,<2 hours,1
327,5,2,11,10,10,2,T,5,8,no,17,0,4,GT3,yes,4,5,4,yes,yes,Rural,,no,no,GP,no,M,<2 hours,4
328,1,4,10,9,9,4,T,3,7,yes,17,0,5,GT3,yes,4,4,4,yes,yes,Urban,,yes,no,GP,no,F,5 to 10 hours,1
329,1,4,14,14,14,4,T,2,4,no,17,0,4,GT3,yes,3,3,4,yes,yes,Urban,,yes,yes,GP,no,F,5 to 10 hours,2
330,2,2,9,8,8,2,T,4,2,yes,18,0,4,LE3,yes,5,5,5,yes,yes,Urban,,no,no,GP,no,M,>10 hours,1
331,1,4,12,14,14,2,T,1,7,no,17,0,4,GT3,yes,4,3,5,yes,yes,Rural,,no,yes,GP,no,F,5 to 10 hours,1
332,1,3,7,0,0,3,T,1,0,yes,18,0,5,GT3,no,3,4,4,yes,yes,Urban,,no,no,GP,no,F,2 to 5 hours,1
333,1,2,8,8,0,2,T,1,0,yes,18,0,4,LE3,no,3,3,2,yes,yes,Urban,,no,yes,GP,no,F,2 to 5 hours,1
334,1,2,10,9,0,2,T,1,0,yes,18,0,4,GT3,no,4,4,4,yes,no,Rural,,no,no,GP,no,F,>10 hours,2
335,1,4,16,15,15,3,T,3,16,no,17,0,4,GT3,no,4,5,5,yes,yes,Urban,,no,no,GP,no,F,5 to 10 hours,1
336,1,1,14,13,13,3,A,2,12,no,19,1,5,GT3,no,4,3,5,yes,no,Rural,,yes,no,GP,no,F,5 to 10 hours,1
337,2,2,7,8,0,3,T,3,0,no,17,0,4,GT3,yes,3,2,2,yes,yes,Urban,,yes,yes,GP,no,F,2 to 5 hours,1
338,1,3,16,15,17,3,T,1,7,no,18,0,5,LE3,yes,3,3,1,yes,yes,Urban,,no,no,GP,no,F,>10 hours,1
339,2,2,9,10,10,3,A,3,4,no,17,0,4,GT3,yes,3,3,2,yes,yes,Rural,,yes,no,GP,no,F,2 to 5 hours,1
340,1,1,11,12,11,2,T,3,4,yes,19,1,4,GT3,no,3,4,3,yes,yes,Urban,,yes,yes,GP,no,F,5 to 10 hours,1
341,2,4,10,10,0,4,T,2,0,yes,18,1,4,GT3,yes,3,3,2,yes,yes,Urban,,no,no,GP,no,M,2 to 5 hours,1
342,1,4,16,15,15,3,T,3,11,yes,18,0,4,LE3,no,3,3,5,yes,yes,Urban,,no,yes,GP,no,M,2 to 5 hours,1
343,1,2,9,8,0,2,A,2,0,no,17,1,3,GT3,yes,3,1,4,yes,yes,Urban,,no,yes,GP,no,F,2 to 5 hours,1
344,1,3,11,10,10,2,T,2,4,no,18,0,4,GT3,yes,3,3,3,yes,yes,Urban,,no,no,GP,no,F,5 to 10 hours,1
345,2,2,13,13,14,3,T,3,7,no,18,0,5,GT3,no,4,3,1,yes,yes,Urban,,no,yes,GP,no,F,5 to 10 hours,1
346,1,3,16,15,16,4,T,2,9,no,18,0,5,GT3,no,3,2,4,yes,yes,Rural,,no,yes,GP,no,M,5 to 10 hours,1
347,2,3,10,10,9,4,T,3,0,no,18,0,5,GT3,yes,4,5,5,yes,yes,Urban,,yes,yes,GP,no,M,5 to 10 hours,1
348,1,3,13,15,15,4,T,3,0,yes,17,0,4,GT3,yes,4,3,4,yes,yes,Urban,,yes,yes,GP,no,F,5 to 10 hours,1
349,5,2,11,13,13,3,T,5,10,no,18,1,2,GT3,yes,5,5,5,yes,yes,Rural,,no,no,MS,no,M,<2 hours,2
350,3,1,8,7,8,1,T,3,8,no,19,3,5,GT3,no,4,4,2,yes,yes,Rural,,no,no,MS,no,M,2 to 5 hours,3
351,2,3,13,13,13,3,T,3,2,no,17,0,4,GT3,yes,5,4,3,yes,yes,Urban,,yes,no,MS,no,M,2 to 5 hours,2
352,2,3,8,7,8,1,T,3,7,no,18,1,4,LE3,no,3,3,3,no,yes,Urban,,no,yes,MS,no,M,<2 hours,1
353,3,1,8,8,8,1,T,3,4,no,19,1,4,GT3,yes,4,4,5,yes,yes,Rural,,no,no,MS,no,M,<2 hours,3
354,1,3,13,11,11,4,T,3,4,yes,17,0,4,GT3,yes,5,5,2,yes,yes,Rural,,yes,yes,MS,no,M,2 to 5 hours,
355,1,3,10,9,9,3,T,1,0,no,18,0,5,GT3,yes,3,4,5,yes,no,Urban,,no,yes,MS,no,F,2 to 5 hours,1
356,1,4,12,13,13,4,T,2,4,yes,17,0,4,GT3,yes,3,3,5,yes,yes,Rural,,yes,no,MS,no,F,2 to 5 hours,2
357,1,2,12,12,11,3,A,2,2,no,17,0,1,LE3,no,2,3,5,yes,no,Urban,,no,yes,MS,no,F,2 to 5 hours,2
358,1,1,10,10,10,1,T,2,4,no,18,0,3,LE3,no,3,2,3,yes,yes,Urban,,no,yes,MS,no,M,<2 hours,2
359,1,1,18,16,16,1,T,1,0,no,18,0,5,LE3,no,3,2,4,yes,yes,Urban,,no,no,MS,no,F,5 to 10 hours,2
360,1,4,13,13,13,1,A,4,0,no,18,0,4,LE3,no,3,4,5,yes,no,Rural,,no,yes,MS,no,F,2 to 5 hours,3
361,2,1,13,12,12,1,T,3,2,yes,18,1,4,LE3,no,4,3,5,no,no,Rural,,no,no,MS,no,M,2 to 5 hours,2
362,1,3,11,11,10,3,T,3,0,no,18,0,4,GT3,yes,3,2,3,yes,yes,Urban,,no,yes,MS,no,F,2 to 5 hours,2
363,1,4,16,15,15,4,T,1,0,yes,17,0,2,LE3,yes,3,4,1,yes,yes,Urban,,yes,yes,MS,,F,2 to 5 hours,1
364,1,2,12,11,12,1,T,2,0,no,17,0,3,GT3,no,2,2,3,yes,no,Rural,,no,no,MS,no,F,2 to 5 hours,2
365,2,3,10,10,10,1,T,4,4,no,18,0,3,GT3,yes,3,4,3,yes,no,Rural,,yes,no,MS,no,M,2 to 5 hours,2
366,2,4,13,13,13,4,T,2,0,no,18,0,4,LE3,no,2,2,5,yes,yes,Urban,,yes,yes,MS,no,M,5 to 10 hours,2
367,1,1,7,6,0,1,T,2,0,no,17,1,5,GT3,yes,2,1,1,yes,yes,Rural,,yes,yes,MS,no,F,<2 hours,3
368,1,3,11,10,10,2,T,2,0,no,18,0,5,GT3,yes,2,3,4,yes,yes,Urban,,yes,yes,MS,,F,<2 hours,2
369,4,4,14,12,11,4,T,2,10,no,18,0,3,GT3,yes,2,2,5,yes,yes,Rural,,yes,yes,MS,no,F,2 to 5 hours,3
370,1,2,7,7,9,3,T,1,4,yes,19,2,3,LE3,no,2,2,3,yes,no,Urban,,no,yes,MS,,F,2 to 5 hours,2
371,2,2,14,12,12,1,T,3,3,yes,18,0,4,LE3,yes,3,3,3,no,yes,Rural,,yes,yes,MS,,M,<2 hours,3
372,1,2,13,11,11,2,T,1,8,yes,17,0,3,GT3,no,4,3,3,yes,no,Urban,,no,yes,MS,no,F,5 to 10 hours,1
373,1,2,6,5,5,1,T,3,14,yes,17,0,3,GT3,no,5,5,1,yes,yes,Rural,,no,no,MS,no,F,<2 hours,1
374,1,4,19,18,19,4,T,1,0,no,18,0,5,LE3,no,4,4,1,yes,yes,Rural,,no,no,MS,no,F,5 to 10 hours,2
375,1,1,8,8,10,1,T,2,2,no,18,0,4,GT3,no,3,2,4,yes,yes,Rural,,no,no,MS,,F,5 to 10 hours,4
376,1,2,15,14,15,4,T,1,4,no,20,2,5,GT3,yes,4,3,3,yes,yes,Urban,,yes,yes,MS,,F,5 to 10 hours,2
377,3,4,8,9,10,4,T,4,4,yes,18,0,5,LE3,no,4,3,2,yes,yes,Rural,,yes,no,MS,,F,2 to 5 hours,1
378,1,3,15,15,15,3,T,2,0,no,18,0,4,GT3,no,1,3,1,yes,yes,Urban,,yes,yes,MS,,F,2 to 5 hours,1
379,2,1,10,10,10,3,T,3,17,yes,17,0,4,GT3,yes,5,4,1,yes,yes,Rural,,yes,no,MS,,F,2 to 5 hours,1
380,1,4,15,14,14,4,T,4,4,yes,18,0,3,GT3,no,2,4,2,yes,yes,Urban,,yes,no,MS,,M,2 to 5 hours,1
381,1,1,7,6,7,2,T,3,5,yes,18,0,4,GT3,no,4,3,5,yes,yes,Rural,,no,yes,MS,,M,<2 hours,2
382,1,3,11,11,10,2,T,1,2,yes,17,0,4,GT3,no,4,3,3,yes,yes,Urban,,no,no,MS,no,M,2 to 5 hours,2
383,1,1,6,5,0,1,T,3,0,no,19,1,4,GT3,no,3,2,5,yes,no,Rural,,no,no,MS,,M,<2 hours,2
384,4,2,6,5,5,4,T,3,14,no,18,1,5,GT3,no,4,3,3,yes,no,Rural,,yes,no,MS,no,M,<2 hours,2
385,1,2,10,9,10,2,T,3,2,no,18,0,5,GT3,no,3,3,4,yes,no,Rural,,yes,no,MS,no,F,5 to 10 hours,2
386,2,4,6,5,6,4,T,2,7,yes,18,0,4,GT3,yes,4,3,5,yes,yes,Rural,,yes,yes,MS,no,F,<2 hours,3
387,1,3,7,5,0,2,T,2,0,yes,19,1,5,GT3,no,4,2,5,yes,yes,Rural,,no,no,MS,no,F,5 to 10 hours,1
388,1,1,7,9,8,3,T,1,0,no,18,0,4,LE3,yes,3,4,1,yes,yes,Urban,,yes,no,MS,no,F,2 to 5 hours,1
389,1,1,6,5,0,1,T,1,0,yes,18,1,1,GT3,no,1,1,5,yes,no,Urban,,no,no,MS,no,F,2 to 5 hours,2
390,4,2,9,9,9,2,A,5,11,no,20,2,5,LE3,yes,5,4,4,yes,no,Urban,,yes,no,MS,no,M,2 to 5 hours,1
391,3,1,14,16,16,3,T,4,3,no,17,0,2,LE3,no,4,5,2,yes,yes,Urban,,no,no,MS,no,M,<2 hours,2
392,3,1,10,8,7,1,T,3,3,no,21,3,5,GT3,no,5,3,3,yes,no,Rural,,no,no,MS,no,M,<2 hours,1
393,3,2,11,12,10,3,T,4,0,no,18,0,4,LE3,no,4,1,5,yes,yes,Rural,,no,no,MS,no,M,<2 hours,3
394,3,1,8,9,9,1,T,3,5,no,19,0,3,LE3,no,2,3,5,yes,yes,Urban,,no,no,MS,no,M,<2 hours,1
